family,deployable,feature_count,target_variant,alpha,scheme,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_object_spatial,True,192,direct_grounded,0.1,leave_one_level,0.2,-0.021875,-0.0268749999999999,11,25,0.3555851063829787,-0.1286529389093622,-0.1587499999999999,-0.8207826816681233,-0.21875
relative_object_spatial,True,192,potential_success,0.1,leave_one_level,0.2,-0.021875,-0.026875,12,26,0.352127659574468,-0.1448420469898931,-0.159375,-0.7999999999999999,-0.234375
relative_object_spatial,True,192,direct_success,0.1,leave_one_cell,0.2,-0.009375,-0.0143749999999999,13,19,0.3829787234042553,-0.1020502698043754,-0.1324999999999999,-0.7,-0.1640625
relative_object_spatial,True,192,direct_terminal_utility,0.1,leave_one_cell,0.2,-0.015625,-0.0206249999999999,12,22,0.3863031914893617,-0.1022054999513603,-0.1568749999999999,-0.7999999999999999,-0.1953125
relative_object_spatial,True,192,direct_grounded,0.1,leave_one_cell,0.2,-0.015625,-0.0206249999999999,12,22,0.3820478723404255,-0.1042214385533421,-0.1574999999999999,-0.7999999999999999,-0.1953125
relative_object_spatial,True,192,potential_success,0.1,leave_one_cell,0.2,-0.009375,-0.0143749999999999,13,19,0.4273936170212766,-0.0628706734994915,-0.1412499999999999,-0.7999999999999999,-0.078125
relative_object_spatial,True,192,direct_success,1.0,leave_one_task,0.2,-0.003125,-0.0081249999999999,14,16,0.4958776595744681,-0.0026873705869563,-0.1656249999999999,-0.0512989176042577,0.0546875
relative_object_spatial,True,192,direct_terminal_utility,1.0,leave_one_task,0.2,-0.0046875,-0.0096874999999999,14,17,0.5051861702127659,0.0032742062484418,-0.189375,-0.1999999999999999,0.0390625
relative_object_spatial,True,192,direct_grounded,1.0,leave_one_task,0.2,-0.0046875,-0.0096874999999999,14,17,0.5055851063829787,0.0049299944829479,-0.215625,-0.0512989176042577,0.03125
relative_object_spatial,True,192,potential_success,1.0,leave_one_task,0.2,-0.0140625,-0.0190624999999999,18,27,0.4768617021276595,-0.0258741551347453,-0.1837499999999999,-0.3999999999999999,-0.015625
relative_object_spatial,True,192,direct_success,1.0,leave_one_level,0.2,-0.0234375,-0.0284374999999999,11,26,0.3344414893617021,-0.1457783558129769,-0.1574999999999999,-0.8999999999999998,-0.25
relative_object_spatial,True,192,direct_terminal_utility,1.0,leave_one_level,0.2,-0.0203125,-0.0253124999999999,13,26,0.3340425531914893,-0.1448038554457936,-0.1849999999999999,-0.9746794344808964,-0.203125
relative_object_spatial,True,192,direct_grounded,1.0,leave_one_level,0.2,-0.0203125,-0.0253124999999999,12,25,0.3365691489361702,-0.1435160201522889,-0.159375,-0.8999999999999998,-0.203125
relative_object_spatial,True,192,potential_success,1.0,leave_one_level,0.2,-0.025,-0.0299999999999999,14,30,0.3349734042553191,-0.1648527734509582,-0.2387499999999999,-1.0,-0.2265625
relative_object_spatial,True,192,direct_success,1.0,leave_one_cell,0.2,-0.0125,-0.0174999999999999,13,21,0.392686170212766,-0.0933446510585184,-0.189375,-0.7999999999999999,-0.171875
relative_object_spatial,True,192,direct_terminal_utility,1.0,leave_one_cell,0.2,-0.015625,-0.0206249999999999,13,23,0.3855053191489361,-0.1015997738487074,-0.189375,-0.7999999999999999,-0.1953125
relative_object_spatial,True,192,direct_grounded,1.0,leave_one_cell,0.2,-0.015625,-0.0206249999999999,12,22,0.382313829787234,-0.1023529275248196,-0.189375,-0.8720815992723809,-0.1875
relative_object_spatial,True,192,potential_success,1.0,leave_one_cell,0.2,-0.0125,-0.0174999999999999,17,25,0.3920212765957447,-0.1096438164919381,-0.1325,-0.6668859288553501,-0.15625
relative_object_spatial,True,192,direct_success,10.0,leave_one_task,0.2,-0.0015625,-0.0065624999999999,16,17,0.5284574468085106,0.0296723657947024,-0.269375,0.2051956704170308,0.078125
relative_object_spatial,True,192,direct_terminal_utility,10.0,leave_one_task,0.2,-0.003125,-0.0081249999999999,16,18,0.5304521276595745,0.0298115801328714,-0.2956249999999999,0.1999999999999999,0.1015625
relative_object_spatial,True,192,direct_grounded,10.0,leave_one_task,0.2,-0.003125,-0.0081249999999999,16,18,0.529122340425532,0.0306115492501378,-0.2956249999999999,0.1999999999999999,0.078125
relative_object_spatial,True,192,potential_success,10.0,leave_one_task,0.2,-0.0125,-0.0174999999999999,23,31,0.431781914893617,-0.0808112540056595,-0.3437499999999999,-0.7999999999999999,-0.1015625
relative_object_spatial,True,192,direct_success,10.0,leave_one_level,0.2,-0.021875,-0.0268749999999999,12,26,0.3591755319148936,-0.1248062701611928,-0.1631249999999999,-0.9746794344808964,-0.1953125
relative_object_spatial,True,192,direct_terminal_utility,10.0,leave_one_level,0.2,-0.0171875,-0.0221874999999999,15,26,0.3514627659574468,-0.1333554267747714,-0.1643749999999999,-0.8999999999999998,-0.1640625
relative_object_spatial,True,192,direct_grounded,10.0,leave_one_level,0.2,-0.0203125,-0.0253124999999999,13,26,0.3550531914893617,-0.1302081150115633,-0.1643749999999999,-0.7999999999999999,-0.1875
relative_object_spatial,True,192,potential_success,10.0,leave_one_level,0.2,-0.0484375,-0.0534374999999999,13,44,0.2957446808510638,-0.2180371679109419,-0.3456249999999999,-1.0,-0.34375
relative_object_spatial,True,192,direct_success,10.0,leave_one_cell,0.2,-0.015625,-0.0206249999999999,11,21,0.4244680851063829,-0.0639556418813281,-0.2437499999999999,-0.7,-0.125
