family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.1,0.1,0.0015625,-0.0009375000000000002,6,5,0.5055851063829787,0.020691603666623447,-0.053749999999999985,0.15389675281277312,-0.03125
relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.2,0.2,-0.0015625,-0.006562499999999999,14,15,0.5055851063829787,0.020691603666623447,-0.08249999999999998,0.15389675281277312,-0.03125
relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.3,0.3,0.003125,-0.004374999999999998,24,22,0.5055851063829787,0.020691603666623447,-0.08812499999999998,0.15389675281277312,-0.03125
relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.1,0.1,-0.0015625,-0.004062499999999999,5,6,0.5199468085106383,0.03263487976388081,-0.053749999999999985,0.7905694150420948,0.0234375
relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.2,0.2,0.0015625,-0.0034374999999999974,15,14,0.5199468085106383,0.03263487976388081,-0.05812499999999998,0.7905694150420948,0.0234375
relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.3,0.3,0.0,-0.007499999999999995,21,21,0.5199468085106383,0.03263487976388081,-0.08812499999999998,0.7905694150420948,0.0234375
relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.1,0.1,-0.0046875,-0.007187499999999998,6,9,0.5602393617021276,0.06189206651466319,-0.05437499999999999,0.8999999999999998,0.0625
relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.2,0.2,0.0046875,-0.0003124999999999968,15,12,0.5602393617021276,0.06189206651466319,-0.03437499999999999,0.8999999999999998,0.0625
relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.3,0.3,0.003125,-0.004374999999999995,22,20,0.5602393617021276,0.06189206651466319,-0.08749999999999998,0.8999999999999998,0.0625
relative_control,80,direct_grounded,0.01,leave_one_task,0.1,0.1,0.003125,0.0006249999999999999,7,5,0.4867021276595745,0.007110197790733901,-0.05437499999999999,-0.19999999999999998,-0.0234375
relative_control,80,direct_grounded,0.01,leave_one_task,0.2,0.2,0.0,-0.004999999999999996,15,15,0.4867021276595745,0.007110197790733901,-0.13374999999999998,-0.19999999999999998,-0.0234375
relative_control,80,direct_grounded,0.01,leave_one_task,0.3,0.3,0.003125,-0.004374999999999999,24,22,0.4867021276595745,0.007110197790733901,-0.11374999999999999,-0.19999999999999998,-0.0234375
relative_control,80,direct_grounded,0.1,leave_one_task,0.1,0.1,0.003125,0.0006249999999999999,7,5,0.5022606382978724,0.01954380403481674,-0.05437499999999999,0.0,-0.0078125
relative_control,80,direct_grounded,0.1,leave_one_task,0.2,0.2,0.003125,-0.0018749999999999988,14,12,0.5022606382978724,0.01954380403481674,-0.10812499999999999,0.0,-0.0078125
relative_control,80,direct_grounded,0.1,leave_one_task,0.3,0.3,0.0,-0.0074999999999999945,23,23,0.5022606382978724,0.01954380403481674,-0.11437499999999998,0.0,-0.0078125
relative_control,80,direct_grounded,1.0,leave_one_task,0.1,0.1,0.003125,0.0006249999999999995,8,6,0.5190159574468085,0.03167721652904245,-0.05437499999999999,0.7,0.0390625
relative_control,80,direct_grounded,1.0,leave_one_task,0.2,0.2,0.00625,0.0012500000000000024,17,13,0.5190159574468085,0.03167721652904245,-0.034375,0.7,0.0390625
relative_control,80,direct_grounded,1.0,leave_one_task,0.3,0.3,0.0,-0.007499999999999995,21,21,0.5190159574468085,0.03167721652904245,-0.08749999999999998,0.7,0.0390625
relative_control,80,direct_grounded,10.0,leave_one_task,0.1,0.1,-0.0015625,-0.004062499999999998,7,8,0.5638297872340425,0.06591901577745264,-0.05437499999999999,0.7999999999999999,0.0703125
relative_control,80,direct_grounded,10.0,leave_one_task,0.2,0.2,0.003125,-0.001874999999999997,15,13,0.5638297872340425,0.06591901577745264,-0.060624999999999984,0.7999999999999999,0.0703125
relative_control,80,direct_grounded,10.0,leave_one_task,0.3,0.3,0.003125,-0.004374999999999996,21,19,0.5638297872340425,0.06591901577745264,-0.11437499999999998,0.7999999999999999,0.0703125
relative_control,80,ridge_potential_success,0.01,leave_one_task,0.1,0.1,0.00625,0.0037500000000000007,9,5,0.5184840425531915,0.03722576152816231,-0.055624999999999994,0.39999999999999997,0.0234375
relative_control,80,ridge_potential_success,0.01,leave_one_task,0.2,0.2,0.0078125,0.002812500000000004,20,15,0.5184840425531915,0.03722576152816231,-0.134375,0.39999999999999997,0.0234375
relative_control,80,ridge_potential_success,0.01,leave_one_task,0.3,0.3,0.0,-0.007499999999999991,24,24,0.5184840425531915,0.03722576152816231,-0.13624999999999998,0.39999999999999997,0.0234375
relative_control,80,ridge_potential_success,0.1,leave_one_task,0.1,0.1,0.00625,0.0037500000000000007,8,4,0.5409574468085107,0.05292070390229691,-0.055624999999999994,0.3,0.015625
relative_control,80,ridge_potential_success,0.1,leave_one_task,0.2,0.2,0.0046875,-0.0003124999999999975,18,15,0.5409574468085107,0.05292070390229691,-0.08562499999999998,0.3,0.015625
relative_control,80,ridge_potential_success,0.1,leave_one_task,0.3,0.3,0.0015625,-0.005937499999999996,26,25,0.5409574468085107,0.05292070390229691,-0.13499999999999998,0.3,0.015625
relative_control,80,ridge_potential_success,1.0,leave_one_task,0.1,0.1,0.0046875,0.0021875,8,5,0.5602393617021276,0.06668384644950187,-0.055624999999999994,0.6,0.0625
relative_control,80,ridge_potential_success,1.0,leave_one_task,0.2,0.2,0.003125,-0.0018749999999999958,16,14,0.5602393617021276,0.06668384644950187,-0.04374999999999999,0.6,0.0625
relative_control,80,ridge_potential_success,1.0,leave_one_task,0.3,0.3,0.0,-0.0074999999999999945,22,22,0.5602393617021276,0.06668384644950187,-0.08937499999999998,0.6,0.0625
